,Unnamed: 0,storeNumber,countryCode,ownershipTypeCode,schedule,slug,latitude,longitude,streetAddressLine1,streetAddressLine2,streetAddressLine3,city,countrySubdivisionCode,postalCode,currentTimeOffset,windowsTimeZoneId,olsonTimeZoneId
16476,16476,55186-289016,JP,CO,,kintetsu-kusatsu-1-1-50-shibukawa-kusatsu-25-525-8515-jp,35.022383,135.962571,1-1-50 Shibukawa,,,Kusatsu,25,525-8515,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16477,16477,30276-260966,JP,CO,,kusatsu-a-square-1-23-1-nishishibukawa-kusatsu-25-525-0025-jp,35.025436,135.959326,1-23-1 Nishishibukawa,,,Kusatsu,25,525-0025,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16478,16478,31022-105213,JP,CO,,kusatsu-kokudo-1-go-1-20-20-kusatsu-kusatsu-25-525-0034-jp,35.015049,135.965775,1-20-20 Kusatsu,,,Kusatsu,25,525-0034,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16479,16479,47505-254610,JP,CO,,hashima-fukuju-72-chiyoda-fukujuchohongo-hashima-21-501-6254-jp,35.319201,136.683934,72 chiyoda Fukujuchohongo,,,Hashima,21,501-6254,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16480,16480,30173-33259,JP,CO,,aeon-mall-kuwana-1-22-shinnishikata-kuwana-24-511-0863-jp,35.072209,136.662491,1-22 Shinnishikata,,,Kuwana,24,511-0863,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16481,16481,16822-166985,JP,CO,,yokkaichi-obira-1863-1-tennokawahara-obiracho-yokkaichi-24-512-092,34.976406,136.589155,1863-1 Tennokawahara Obiracho,,,Yokkaichi,24,512-0921,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16482,16482,51358-278011,JP,LS,,panasonic-appliances-company-2-3-1-1-nojihigashi-kusatsu-25-525-8520-jp,34.989925,135.956868,2-3-1-1 Nojihigashi,,,Kusatsu,25,525-8520,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16483,16483,30582-98004,JP,CO,,apita-yokkaichi-1-3-31-yasujima-yokkaichi-24-510-0075-jp,34.968108,136.617124,1-3-31 Yasujima,,,Yokkaichi,24,510-0075,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16484,16484,18025-180145,JP,CO,,aeon-mall-yokkaichikita-2-40-tomisuharacho-yokkaichi-24-510-8016-jp,35.007414,136.657214,2-40 Tomisuharacho,,,Yokkaichi,24,510-8016,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16485,16485,1834-139044,JP,CO,,aeon-mall-kusatsu-300-shinhamacho-kusatsu-25-525-0067-jp,34.997662,135.918096,300 Shinhamacho,,,Kusatsu,25,525-0067,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
